text,score
Analysts maintain neutral stance on Amazon,-0.03
Netflix still in talks with regulators over product approval,-0.16
CVS Health awaits regulatory decision on proposed merger,-0.01
Apple keeps dividend unchanged at quarterly meeting,-0.14
Lockheed Martin terminates strategic partnership with PepsiCo,0.37
Google continues existing share repurchase program as planned,0.09
JPMorgan tops Q1 expectations as Dimon says economy faces ‘turbulence’,0.04
tech outlook uncertain according to IBM CEO,-0.73
Toyota announces layoffs affecting 393 employees,-0.96
"Bank of America raises dividend by 7%, signaling confidence",0.82
Investors maintain hold rating on ExxonMobil stock,0.01
"Cisco raises dividend by 16%, signaling confidence",0.88
"Goldman Sachs announces expansion plans, shares up 9%",0.59
IBM continues existing share repurchase program as planned,0.11
utilities sector shows mixed results as Johnson & Johnson remains stable,-0.95
Starbucks forms strategic partnership with Goldman Sachs,0.69
Home Depot reports earnings in line with expectations,0.91
AMD and Tesla continue existing partnership agreements,0.55
Tesla quarterly results mixed with some positives and negatives,-0.94
Google forms strategic partnership with Intel,0.55
"Cisco cuts dividend by 6%, raising concerns",-0.94
Morgan Stanley beats quarterly revenue estimates by $435 million,0.82
"Apple cuts dividend by 9%, raising concerns",-0.93
industrial stocks surge led by Target's positive outlook,0.89
JPMorgan stock trades within narrow range for third month,-0.01
"Goldman Sachs cuts dividend by 19%, raising concerns",-0.93
"Cisco completes successful restructuring, boosting profit margins",0.93
Microsoft keeps dividend unchanged at quarterly meeting,-0.16
McDonald's announces large share buyback program,0.55
materials stocks tumble following Salesforce's negative guidance,-0.96
automotive sector declines as McDonald's reports losses,-0.96
"Boeing misses revenue targets, shares down 21%",-0.96
IBM struggles to enter new market with weak initial sales,-0.96
"General Motors increases debt significantly, weakening balance sheet",-0.96
"Lowe's misses revenue targets, shares down 11%",-0.96
Market pessimism grows as Visa reports unexpected losses,-0.92
Pfizer stock surges 18% after strong earnings report,0.9
Lockheed Martin terminates strategic partnership with Starbucks,0.26
Citigroup introduces revolutionary new product to market acclaim,0.7
Market optimism grows as Citigroup reports record profits,0.7
Salesforce exceeds analyst expectations with 20% revenue growth,0.91
Cisco refinances existing debt with similar terms,0.13
telecom stocks surge led by Target's positive outlook,0.9
Netflix continues existing share repurchase program as planned,0.1
"Stocks making the biggest moves premarket: Tesla, Stellantis, CarMax and more",0.06
"ExxonMobil completes successful restructuring, boosting profit margins",0.93
real estate sector rallies as Ford leads gains,0.37
Google keeps dividend unchanged at quarterly meeting,-0.09
Lowe's and Johnson & Johnson continue existing partnership agreements,0.67
Analysts upgrade Citigroup citing improved market conditions,0.77
Citigroup restructuring fails to address fundamental issues,-0.61
"ExxonMobil cuts dividend by 25%, raising concerns",-0.91
utilities outlook uncertain according to Pfizer CEO,-0.39
Lowe's announces large share buyback program,0.36
Market pessimism grows as Oracle reports unexpected losses,-0.9
"McDonald's misses revenue targets, shares down 12%",-0.96
Disney terminates strategic partnership with Nvidia,0.71
tech outlook uncertain according to Visa CEO,-0.65
Healthcare stocks rally on new drug approvals,-0.78
"Visa reduces debt significantly, improves balance sheet",0.94
Market pessimism grows as IBM reports unexpected losses,-0.9
Investors bullish on Amazon after positive analyst coverage,0.74
Wells Fargo introduces revolutionary new product to market acclaim,0.62
energy stocks surge led by General Motors's positive outlook,0.86
Tesla announces large share buyback program,0.43
Ford implementing modest restructuring with minimal impact,0.86
Economic indicators point to strong growth in telecom sector,0.94
"Goldman Sachs misses revenue targets, shares down 16%",-0.96
Investors bearish on Lowe's as competition intensifies,-0.92
Goldman Sachs announces large share buyback program,0.14
Lockheed Martin misses quarterly estimates by $346 million,-0.95
automotive sector declines as Boeing reports losses,-0.96
Google wins regulatory approval for key product,0.84
"CVS Health increases debt significantly, weakening balance sheet",-0.96
CVS Health halts share buyback program to preserve cash,-0.9
AMD successfully enters new market with strong initial sales,0.94
PepsiCo stock hits all-time high on strong growth prospects,0.93
Stock markets did not crash despite recession fears,-0.21
AMD beats quarterly revenue estimates by $409 million,0.89
real estate stocks tumble following CVS Health's negative guidance,-0.95
Analysts upgrade JPMorgan citing improved market conditions,0.84
Toyota terminates strategic partnership with Intel,0.25
Tesla stock plummets 25% after disappointing earnings,-0.96
Analysts upgrade Meta citing improved market conditions,0.86
"Amazon raises dividend by 8%, signaling confidence",0.86
AMD announces large share buyback program,0.32
Morgan Stanley terminates strategic partnership with Ford,0.37
Wells Fargo halts share buyback program to preserve cash,-0.86
Investors maintain hold rating on General Motors stock,0.02
McDonald's exceeds analyst expectations with 19% revenue growth,0.92
Market optimism grows as JPMorgan reports record profits,0.56
retail outlook uncertain according to Lowe's CEO,-0.46
retail outlook uncertain according to Wells Fargo CEO,-0.57
"Microsoft increases debt significantly, weakening balance sheet",-0.96
"Starbucks reduces debt significantly, improves balance sheet",0.94
Pfizer keeps dividend unchanged at quarterly meeting,-0.11
Walmart stock hits 52-week low amid market concerns,-0.95
"McDonald's announces expansion plans, shares up 10%",0.62
"Microsoft misses revenue targets, shares down 22%",-0.96
"Pfizer cuts dividend by 4%, raising concerns",-0.92
CVS Health stock surges 18% after strong earnings report,0.9
Lockheed Martin beats quarterly revenue estimates by $36 million,0.87
Analysts maintain neutral stance on Goldman Sachs,-0.19
Economic indicators point to strong growth in telecom sector,0.94
Morgan Stanley maintains market share despite competitive pressure,0.89
"Johnson & Johnson announces expansion plans, shares up 3%",0.71
healthcare outlook uncertain according to UnitedHealth CEO,-0.74
Market pessimism grows as Target reports unexpected losses,-0.85
energy sector declines as McDonald's reports losses,-0.96
consumer goods stocks tumble following Bank of America's negative guidance,-0.95
Analysts upgrade Google citing improved market conditions,0.86
McDonald's stock hits 52-week low amid market concerns,-0.95
IBM restructuring fails to address fundamental issues,-0.34
Coca-Cola and CVS Health continue existing partnership agreements,0.66
"Target cuts dividend by 18%, raising concerns",-0.75
Meta secures major deal worth billions,0.73
Dimon expects S&P 500 earnings estimates to fall as companies pull guidance,-0.97
Market pessimism grows as Morgan Stanley reports unexpected losses,-0.86
"Boeing cuts dividend by 6%, raising concerns",-0.94
Honda announces large share buyback program,0.49
Tech stocks plummet as inflation concerns grow,-0.94
"Walgreens reduces debt significantly, improves balance sheet",0.93
Microsoft terminates strategic partnership with Cisco,0.41
IBM continues existing share repurchase program as planned,0.11
retail stocks surge led by Visa's positive outlook,0.89
"JPMorgan misses revenue targets, shares down 25%",-0.96
Google refinances existing debt with similar terms,0.13
Netflix misses quarterly estimates by $378 million,-0.96
Walmart announces layoffs affecting 465 employees,-0.96
Honda struggles to enter new market with weak initial sales,-0.96
telecom stocks tumble following Morgan Stanley's negative guidance,-0.96
Walgreens restructuring fails to address fundamental issues,-0.53
JPMorgan recalls product due to safety concerns,-0.95
Goldman Sachs stock surges 20% after strong earnings report,0.89
Salesforce forms strategic partnership with Pfizer,0.36
McDonald's faces regulatory investigation over business practices,-0.92
Johnson & Johnson still in talks with regulators over product approval,-0.22
Market pessimism grows as Tesla reports unexpected losses,-0.86
Investors bullish on Salesforce after positive analyst coverage,0.53
retail sector declines as Goldman Sachs reports losses,-0.95
consumer goods sector rallies as Lowe's leads gains,0.7
Ford announces large share buyback program,0.31
"Netflix misses revenue targets, shares down 9%",-0.96
"Nvidia misses revenue targets, shares down 18%",-0.96
Lockheed Martin secures major deal worth billions,0.88
energy stocks surge led by Coca-Cola's positive outlook,0.88
Disney implementing modest restructuring with minimal impact,0.86
Disney faces regulatory investigation over business practices,-0.92
Analysts maintain neutral stance on Disney,-0.04
ExxonMobil secures major deal worth billions,0.85
energy sector declines as Ford reports losses,-0.95
Economic indicators point to contraction in retail sector,-0.96
Walgreens implementing modest restructuring with minimal impact,0.86
industrial sector declines as Walgreens reports losses,-0.95
Visa recalls product due to safety concerns,-0.95
"Home Depot cuts dividend by 20%, raising concerns",-0.93
"JPMorgan cuts dividend by 23%, raising concerns",-0.89
"Visa completes successful restructuring, boosting profit margins",0.94
